series_title,runtime,genre,imdb_rating,overview,meta_score,director,star1,star2,star3,star4,gross
Chung Hing sam lam,102,"['Comedy', 'Crime', 'Drama']",8.1,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",77.0,Kar-Wai Wong,Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong,600200.0
Gifted,101,['Drama'],7.6,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",60.0,Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer,24801212.0
Requiem for a Dream,102,['Drama'],8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,68.0,Darren Aronofsky,Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans,3635482.0
Scarface,170,"['Crime', 'Drama']",8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",65.0,Brian De Palma,Al Pacino,Michelle Pfeiffer,Steven Bauer,Mary Elizabeth Mastrantonio,45598982.0
Shrek,90,"['Animation', 'Adventure', 'Comedy']",7.8,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",84.0,Andrew Adamson,Vicky Jenson,Mike Myers,Eddie Murphy,Cameron Diaz,267665011.0
Höstsonaten,99,"['Drama', 'Music']",8.2,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",80.0,Ingmar Bergman,Ingrid Bergman,Liv Ullmann,Lena Nyman,Halvar Björk,22350918.5
Jûbê ninpûchô,94,"['Animation', 'Action', 'Adventure']",7.9,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,80.0,Yoshiaki Kawajiri,Kôichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka,22350918.5
Sherlock Holmes,128,"['Action', 'Adventure', 'Mystery']",7.6,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,57.0,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong,209028679.0
American History X,119,['Drama'],8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,62.0,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,6719864.0
Bride of Frankenstein,75,"['Drama', 'Horror', 'Sci-Fi']",7.8,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",95.0,James Whale,Boris Karloff,Elsa Lanchester,Colin Clive,Valerie Hobson,4360000.0
Carlito's Way,144,"['Crime', 'Drama', 'Thriller']",7.9,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",65.0,Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo,36948322.0
When Harry Met Sally...,95,"['Comedy', 'Drama', 'Romance']",7.6,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",76.0,Rob Reiner,Billy Crystal,Meg Ryan,Carrie Fisher,Bruno Kirby,92823600.0
