released_year,certificate,runtime,genre,imdb_rating,meta_score,director,star1,star2,star3,star4,no_of_votes,gross,gross_per_vote
1960,3,174,"['comedy', 'drama']",8.0,95.0,2,2,1,1,2,66621,19516000.0,292.94066435508324
1959,0,141,"['action', 'drama', 'western']",8.0,93.0,3,2,1,1,1,56305,12535000.0,222.62676494094663
1959,-1,161,"['crime', 'drama', 'mystery']",8.0,95.0,2,3,1,1,1,59847,11900000.0,198.84037629288017
1958,2,95,"['crime', 'drama', 'film-noir']",8.0,99.0,2,2,1,2,2,98431,2237659.0,22.733275086100925
1958,3,108,['drama'],8.0,84.0,1,2,1,1,2,45062,17570324.0,389.91442900892105
1957,0,96,"['drama', 'film-noir']",8.0,100.0,2,2,2,1,1,28137,23457439.5,833.6865870561894
1956,0,84,"['crime', 'drama', 'film-noir']",8.0,91.0,3,1,1,1,1,81702,23457439.5,287.10973415583464
1955,-1,92,"['crime', 'drama', 'film-noir']",8.0,99.0,1,2,1,1,1,81980,654000.0,7.977555501341791
1954,-1,108,['drama'],8.0,79.0,2,2,1,1,1,58314,23457439.5,402.26085502623727
1955,-1,117,"['crime', 'drama', 'horror']",8.0,79.0,2,1,1,1,1,61503,23457439.5,381.40317545485584
1953,-1,120,"['comedy', 'drama', 'war']",8.0,84.0,3,2,1,1,1,51046,23457439.5,459.535311287858
1953,-1,118,"['comedy', 'romance']",8.0,78.0,2,2,2,1,1,127256,23457439.5,184.33267979505877
1951,3,122,['drama'],8.0,97.0,2,1,2,2,1,99182,8000000.0,80.6597971406102
1950,-1,94,"['drama', 'film-noir', 'mystery']",8.0,79.0,2,3,1,1,1,26784,23457439.5,875.8004592293906
1949,0,106,"['comedy', 'crime']",8.0,79.0,1,1,2,1,1,34485,23457439.5,680.2215311004785
1948,3,80,"['crime', 'drama', 'mystery']",8.0,73.0,3,3,1,1,1,129783,23457439.5,180.7435449943367
1947,-1,97,"['crime', 'drama', 'film-noir']",8.0,79.0,1,2,1,1,1,32784,23457439.5,715.5148700585652
1945,0,86,"['drama', 'romance']",8.0,92.0,2,1,1,2,1,35601,23457439.5,658.8983315075419
1944,0,88,"['drama', 'film-noir', 'mystery']",8.0,79.0,2,1,2,1,1,42725,4360000.0,102.04798127559977
1946,0,170,"['drama', 'romance', 'war']",8.0,93.0,2,1,2,1,1,57259,23650000.0,413.0355053354058
1942,-1,118,"['comedy', 'crime', 'thriller']",8.0,79.0,2,3,1,1,2,65101,23457439.5,360.32379686947974
1941,-1,100,"['film-noir', 'mystery']",8.0,96.0,2,3,1,1,1,148928,2108060.0,14.154893639879674
1940,0,129,"['drama', 'history']",8.0,96.0,2,2,1,1,1,85559,55000.0,0.6428312626374783
1939,0,102,"['adventure', 'family', 'fantasy']",8.0,92.0,2,2,1,1,1,371379,2076020.0,5.5900306694778115
1939,-1,110,"['comedy', 'drama']",8.0,79.0,2,1,1,1,1,26725,23457439.5,877.7339382600561
1934,1,91,"['comedy', 'crime', 'mystery']",8.0,86.0,1,1,1,1,1,26642,23457439.5,880.4684145334435
1930,0,152,"['drama', 'war']",8.0,91.0,1,1,1,1,1,57318,3270000.0,57.050141316863815
1925,-1,75,"['drama', 'history', 'thriller']",8.0,97.0,1,1,1,1,1,53054,50970.0,0.9607192671617597
2019,1,130,"['comedy', 'crime', 'drama']",7.9,82.0,1,2,2,2,1,454203,165359751.0,364.0657393280097
2020,1,101,"['comedy', 'drama', 'romance']",7.9,79.0,1,2,1,1,1,111478,23457439.5,210.42214158847486
2018,3,121,"['crime', 'drama']",7.9,93.0,1,1,1,1,1,62754,3313513.0,52.80162220734933
2019,0,137,"['comedy', 'drama', 'romance']",7.9,94.0,1,1,2,1,1,246644,2000000.0,8.108853245973954
2017,1,132,"['drama', 'romance']",7.9,93.0,1,1,1,1,1,212651,18095701.0,85.0957719455822
2016,1,100,['drama'],7.9,78.0,1,2,1,1,1,53818,258168.0,4.797056746813334
2018,0,101,"['animation', 'adventure', 'comedy']",7.9,82.0,3,1,1,2,1,139114,32015231.0,230.13665770519142
2016,1,101,"['adventure', 'comedy', 'drama']",7.9,81.0,2,2,1,1,1,111483,5202582.0,46.66704340572105
2016,3,118,"['comedy', 'drama']",7.9,72.0,1,2,2,1,1,189400,5875006.0,31.019039070749734
2016,2,106,"['comedy', 'drama', 'music']",7.9,79.0,2,1,1,1,1,85109,3237118.0,38.03496692476706
2017,1,130,"['action', 'adventure', 'comedy']",7.9,74.0,2,1,1,1,2,587775,315058289.0,536.0185257964357
2014,3,117,"['crime', 'drama', 'thriller']",7.9,76.0,1,3,1,2,1,466134,32381218.0,69.46761660809982
2019,1,108,"['comedy', 'drama', 'war']",7.9,58.0,2,1,1,2,1,297918,349555.0,1.1733262172812653
2016,1,116,"['drama', 'sci-fi']",7.9,81.0,2,1,2,1,1,594181,100546139.0,169.21803120597932
2015,0,138,"['action', 'adventure', 'sci-fi']",7.9,80.0,2,1,1,2,2,860823,936662225.0,1088.100834898696
2013,3,109,"['drama', 'romance']",7.9,94.0,3,2,2,1,1,141457,8114627.0,57.36461963706285
2014,1,132,"['action', 'adventure', 'sci-fi']",7.9,75.0,2,1,2,1,1,659763,233921534.0,354.55388374310166
2011,-1,157,"['crime', 'drama']",7.9,82.0,2,1,2,1,1,41995,138730.0,3.303488510536969
2011,0,100,"['comedy', 'drama', 'romance']",7.9,89.0,1,1,1,2,1,230624,44671682.0,193.6991900235882
2014,1,113,"['action', 'adventure', 'sci-fi']",7.9,71.0,2,3,1,2,1,600004,100206256.0,167.00931327124485
2012,1,127,"['drama', 'romance']",7.9,94.0,2,2,1,1,1,93090,6739492.0,72.39759372650124
2019,3,209,"['biography', 'crime', 'drama']",7.9,94.0,3,3,2,2,1,324720,7000000.0,21.557033752155704
2009,3,155,"['crime', 'drama']",7.9,90.0,1,1,1,1,1,93560,2084637.0,22.28128473706712
2009,3,97,"['drama', 'mystery', 'sci-fi']",7.9,67.0,1,1,1,1,1,335152,5009677.0,14.94747756241944
2008,3,114,"['crime', 'drama', 'fantasy']",7.9,82.0,1,1,1,1,1,205609,2122065.0,10.32087603169122
2009,3,112,"['action', 'sci-fi', 'thriller']",7.9,81.0,1,1,1,1,1,638202,115646235.0,181.2063186890671
2008,1,109,"['drama', 'sport']",7.9,80.0,2,1,2,1,1,289415,26236603.0,90.65391565744692
2007,0,138,"['comedy', 'drama', 'romance']",7.9,79.0,2,2,1,1,1,47720,410800.0,8.608549874266554
2014,3,165,['drama'],7.9,100.0,3,1,2,2,1,335533,25379975.0,75.64077154855111
2007,-1,113,['drama'],7.9,97.0,1,1,1,1,1,56625,1185783.0,20.94098013245033
2009,1,127,"['action', 'adventure', 'sci-fi']",7.9,82.0,2,2,2,1,1,577336,257730019.0,446.41252061191403
2008,3,107,"['comedy', 'crime', 'drama']",7.9,67.0,2,1,2,2,1,390334,7757130.0,19.87305743286519
2007,-1,87,"['drama', 'fantasy', 'mystery']",7.9,79.0,1,1,1,1,1,174125,23457439.5,134.71609188801148
2006,1,141,"['action', 'adventure', 'drama']",7.9,89.0,3,1,1,1,1,154011,13756082.0,89.31882787593094
2006,3,117,"['adventure', 'drama', 'fantasy']",7.9,64.0,1,1,1,1,1,107290,2280348.0,21.25405909218007
2012,0,127,"['adventure', 'drama', 'fantasy']",7.9,79.0,2,1,1,1,2,580708,124987023.0,215.23213559999172
2009,1,87,"['animation', 'adventure', 'comedy']",7.9,83.0,3,2,2,1,1,199696,21002919.0,105.1744601794728
2005,-1,129,"['comedy', 'drama']",7.9,81.0,2,1,1,1,1,31476,23457439.5,745.2484273732367
2004,2,97,"['drama', 'music']",7.9,56.0,1,1,1,1,1,57430,3635164.0,63.29730106216263
2008,1,126,"['action', 'adventure', 'sci-fi']",7.9,79.0,1,2,2,1,1,939644,318412101.0,338.86461361962614
2004,1,99,"['comedy', 'horror']",7.9,76.0,2,2,2,1,1,512249,13542874.0,26.438068205111186
2004,3,121,"['drama', 'romance']",7.9,78.0,2,1,1,1,1,51325,23457439.5,457.0373015099854
2003,3,138,"['crime', 'drama', 'mystery']",7.9,84.0,3,2,1,2,1,419420,90135191.0,214.90437032091936
2004,0,142,"['adventure', 'family', 'fantasy']",7.9,82.0,3,3,3,2,1,552493,249358727.0,451.3337309250977
2002,2,120,"['action', 'adventure', 'history']",7.9,85.0,2,2,2,1,1,173999,53710019.0,308.6800441381847
2002,3,112,"['drama', 'mystery', 'romance']",7.9,86.0,2,1,1,1,1,104691,9284265.0,88.68255150872568
