released_year,certificate,runtime,genre,imdb_rating,meta_score,director,star1,star2,star3,star4,no_of_votes,gross,gross_per_vote
2017,watch_with_parents,164,"['action', 'drama', 'mystery']",8.0,81.0,few_movies,few_movies,one_movie,few_movies,one_movie,461823,92054159.0,199.32779224941157
2013,adults,126,"['drama', 'romance', 'sci-fi']",8.0,90.0,few_movies,few_movies,one_movie,few_movies,few_movies,540772,25568251.0,47.28101861782785
2018,watch_with_parents,134,"['biography', 'drama', 'music']",8.0,49.0,few_movies,one_movie,one_movie,one_movie,one_movie,450349,216428042.0,480.57848912732123
2015,adults,156,"['action', 'adventure', 'drama']",8.0,76.0,few_movies,multiple_movies,few_movies,one_movie,few_movies,705589,183637894.0,260.2618436511907
2012,watch_with_parents,103,"['drama', 'romance']",8.0,67.0,few_movies,one_movie,multiple_movies,one_movie,one_movie,462252,17738570.0,38.374241755579206
2010,unrated,115,"['action', 'crime', 'drama']",8.0,71.0,few_movies,few_movies,one_movie,one_movie,few_movies,79200,100119.0,1.264128787878788
2010,all_ages,118,"['biography', 'drama', 'history']",8.0,88.0,one_movie,few_movies,few_movies,one_movie,one_movie,639603,138797449.0,217.0056253644839
2011,watch_with_parents,146,['drama'],8.0,62.0,one_movie,one_movie,one_movie,one_movie,few_movies,428521,169708112.0,396.0321944548809
2016,adults,108,"['action', 'adventure', 'comedy']",8.0,65.0,one_movie,few_movies,one_movie,one_movie,one_movie,902669,363070709.0,402.21909581474495
2009,watch_with_parents,119,"['drama', 'mystery']",8.0,87.0,few_movies,one_movie,one_movie,one_movie,one_movie,45803,106662.0,2.328712093094339
2009,adults,144,"['drama', 'romance']",8.0,79.0,few_movies,one_movie,few_movies,one_movie,one_movie,28749,10950.0,0.38088281331524576
2008,adults,106,"['action', 'biography', 'drama']",8.0,59.0,one_movie,one_movie,one_movie,one_movie,one_movie,211427,23457439.5,110.94817360129028
2010,watch_with_parents,165,['drama'],8.0,50.0,one_movie,few_movies,few_movies,one_movie,one_movie,98575,4018695.0,40.76789246766422
2009,unrated,128,"['action', 'drama', 'thriller']",8.0,79.0,one_movie,few_movies,one_movie,one_movie,one_movie,31838,23457439.5,736.7749073434261
2008,watch_with_parents,120,"['drama', 'romance']",8.0,84.0,few_movies,one_movie,one_movie,one_movie,few_movies,798882,141319928.0,176.89712373041326
2010,adults,108,"['drama', 'thriller']",8.0,79.0,few_movies,one_movie,one_movie,one_movie,one_movie,699673,106954678.0,152.86380637812235
2007,adults,115,"['action', 'crime', 'drama']",8.0,33.0,few_movies,few_movies,one_movie,one_movie,few_movies,98097,8060.0,0.08216357279019745
2012,watch_with_parents,143,"['action', 'adventure', 'sci-fi']",8.0,69.0,few_movies,few_movies,few_movies,few_movies,one_movie,1260806,623279547.0,494.35008002817244
2007,teens,96,"['animation', 'biography', 'drama']",8.0,90.0,one_movie,one_movie,one_movie,one_movie,one_movie,88656,4445756.0,50.14613788124887
2013,adults,117,"['biography', 'drama']",8.0,80.0,few_movies,few_movies,one_movie,few_movies,one_movie,441614,27298285.0,61.81480886022635
2006,all_ages,117,"['biography', 'drama']",8.0,64.0,few_movies,few_movies,one_movie,one_movie,one_movie,448930,163566459.0,364.34735704898316
2006,adults,143,"['adventure', 'drama', 'thriller']",8.0,64.0,few_movies,multiple_movies,one_movie,few_movies,one_movie,499439,57366262.0,114.86139848910477
2007,watch_with_parents,115,"['action', 'mystery', 'thriller']",8.0,85.0,few_movies,few_movies,one_movie,few_movies,one_movie,604694,227471070.0,376.175503643165
2004,all_ages,88,"['crime', 'drama', 'romance']",8.0,72.0,few_movies,one_movie,one_movie,one_movie,one_movie,50610,238507.0,4.712645722189291
2005,adults,124,"['crime', 'thriller']",8.0,74.0,one_movie,one_movie,one_movie,one_movie,few_movies,738512,74103820.0,100.34206620880906
2007,teens,112,"['biography', 'drama']",8.0,92.0,one_movie,few_movies,one_movie,one_movie,one_movie,103284,5990075.0,57.99615622942566
2004,unrated,127,"['adventure', 'comedy', 'sci-fi']",8.0,79.0,one_movie,one_movie,one_movie,one_movie,one_movie,56960,23457439.5,411.8230249297753
2007,all_ages,111,"['animation', 'adventure', 'comedy']",8.0,96.0,few_movies,one_movie,one_movie,one_movie,one_movie,641645,206445654.0,321.74435084821044
2006,teens,144,"['action', 'adventure', 'thriller']",8.0,80.0,one_movie,few_movies,one_movie,one_movie,one_movie,582239,167445960.0,287.58973548663005
2004,adults,137,"['action', 'crime', 'thriller']",8.0,83.0,multiple_movies,few_movies,few_movies,few_movies,one_movie,683900,66208183.0,96.80974265243457
